"coefficient_lambda.min";"term";"rule"
"38";0.161038081834523;"X1_workclass.Self.emp.not.inc_1_hours_per_week_2_1_workclass.Self.emp.not.inc_1_hours_per_week_3_2";"hours_per_week>=27.5 & workclass Self-emp-not-inc< 0.5"
"39";0.166132024369797;"X1_workclass.Private_2_occupation.Other.service_1_age_1";"age>=37.5 & occupation Other-service< 0.5 & workclass Private>= 0.5"
"40";0.176445262719917;"X1_occupation.Tech.support_1_marital_status.Married.civ.spouse_2";"marital_status Married-civ-spouse>=0.5 & occupation Tech-support>=0.5"
"41";0.188784475816062;"X1_capital_gain_13";"capital_gain>=7074 & capital_gain<7566"
"42";0.199063770137491;"X1_hours_per_week_2_fnlwgt_4_1_hours_per_week_3_fnlwgt_4_3";"fnlwgt>=143017.5 & hours_per_week>=    41.5 & hours_per_week<    84.5"
"43";0.214814796280511;"X1_native_country.Dominican.Republic_1_marital_status.Married.civ.spouse_2_age_1";"age<57.5 & marital_status Married-civ-spouse>= 0.5 & native_country Dominican-Republic< 0.5"
"44";0.224166327654214;"education_num";NA
"45";0.244679172550472;"workclass Self-emp-inc";NA
"46";0.265803003610987;"X1_occupation.Tech.support_1_marital_status.Never.married_1";"marital_status Never-married<0.5 & occupation Tech-support>=0.5"
"47";0.314552701783836;"X1_relationship.Own.child_1_occupation.Farming.fishing_1";"occupation Farming-fishing<0.5 & relationship Own-child<0.5"
"48";0.334434824015653;"X1_education_num_2_capital_gain_3_1_education_num_3_capital_gain_3_2";"capital_gain>=4243.5 & education_num>=   6.5"
"49";0.388952749662169;"X1_education.Bachelors_1_capital_loss_1";"capital_loss>=1448.0 & capital_loss<1568.5 & education Bachelors<   0.5"
"50";0.409918609353618;"marital_status Married-AF-spouse";NA
"51";0.435526600240853;"X1_workclass.Private_1_occupation.Protective.serv_2";"occupation Protective-serv>=0.5 & workclass Private<0.5"
"52";0.475987664950128;"X1_fnlwgt_3_capital_gain_1";"capital_gain<   57 & fnlwgt>=81450 & fnlwgt<81708"
"53";0.557665058369305;"X1_capital_gain_7";"capital_gain>=4668 & capital_gain<4974"
"54";0.578087924045296;"X1_capital_loss_13";"capital_loss>=2252 & capital_loss<2262"
"55";0.580377275938083;"X1_capital_loss_12";"capital_loss>=2218 & capital_loss<2252"
"56";0.833337211937536;"X1_capital_loss_15";"capital_loss>=2384 & capital_loss<2581"
"57";1.04104232277499;"X1_marital_status.Married.civ.spouse_1_capital_gain_2";"capital_gain>=7565.5 & marital_status Married-civ-spouse<   0.5"
"58";1.29687616913529;"X1_native_country.Italy_1_capital_loss_3";"capital_loss>=1748.0 & capital_loss<1862.0 & native_country Italy<   0.5"
"59";1.34902384821755;"marital_status Married-civ-spouse";NA
"60";1.41979091426507;"X1_marital_status.Married.civ.spouse_2_capital_gain_1";"capital_gain>=5119.0 & capital_gain<7565.5 & marital_status Married-civ-spouse>=   0.5"
"61";1.49865580672781;"X1_marital_status.Married.civ.spouse_1_capital_loss_2";"capital_loss>=2384.5 & marital_status Married-civ-spouse<   0.5"
"62";1.53059238442811;"X1_capital_gain_3";"capital_gain>=3048 & capital_gain<3120"
"63";1.92997237568638;"X1_native_country.Mexico_1_capital_gain_2";"capital_gain>=7565.5 & native_country Mexico<   0.5"
"64";2.08106821315016;"X1_capital_loss_9";"capital_loss>=1882 & capital_loss<1978"
"65";2.25269953669098;"X1_capital_loss_4";"capital_loss>=1552 & capital_loss<1568"
